"thread_name","post_content","post_date"
"b'Unofficial GOG API Documentation'","b""I'm working on documenting the API used by the GOG Galaxy client to make it possible to write 3rd party clients, especially a native Linux one. This is mainly for developers, you probably won't get any use out of it as an ordinary user. You can find it at [url=https://gogapidocs.readthedocs.org]https://gogapidocs.readthedocs.org[/url] \n  \n If you found new URLs or want to add details, please go to [url=https://github.com/Yepoleb/gogapidocs]https://github.com/Yepoleb/gogapidocs[/url] and make a pull request. It takes less than an hour and I can focus on other GOG projects that are much harder to get into. \n  \n Update: Galaxy protocol files are now available at [url=https://github.com/Yepoleb/gog_protocols]https://github.com/Yepoleb/gog_protocols[/url]""","2016-12-10 20:24:15"
"b'Unofficial GOG API Documentation'","b'I\'m having a problem with documenting the community features because none of my friends are on GOG. Would it be okay if I ask for testers here? I don\'t want to break any ""don\'t beg for friends"" rules.'","2016-12-11 03:07:22"
"b'Unofficial GOG API Documentation'","b""Wow, thanks a lot, Barefoot_Monkey. I didn't expect anyone to contribute so quickly. Unfortunately the forum removed most of the formatting, which is the most time-consuming part. It'd be great if you could use a paste service or create a pull request Github, which is linked near the bottom of the index page. Also please shuffle the characters in a string you want to censor instead of overwriting it, makes the examples look much nicer. I'm really happy about your contribution and gave you credit on the main page. \n  \n  [quote_9]#Q&_^Q&Q#AVATAR:https://images.gog.com/59d10673493cc6d982899823a04f800881b508cfa1423c334e1327e0253440fc_avm.jpg#Q&_^Q&Q#USERNAME:gogamess#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:9#Q&_^Q&Q# \n   Can be used this to find vulnerabilities by hackers? :-/ \n  #Q&_^Q&Q#LINK:9#Q&_^Q&Q#[/quote] \n Yeah, but it's all public information, I'm not revealing any secrets. They could easily figure this out themselves.""","2016-12-12 04:19:01"
"b'My thread that gets deleted.'","b""You're just spamming threads at this point, don't be surprised if they get deleted.""","2016-12-12 04:22:53"
"b'Unofficial GOG API Documentation'","b""[quote_12]#Q&_^Q&Q#AVATAR:https://images.gog.com/6d0011e8bcfb8c5fb19ce343bd70554d20d1d772b3fc57c7eba1b15c4131e4fa_avm.jpg#Q&_^Q&Q#USERNAME:Gydion#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:12#Q&_^Q&Q# \n   Just, FYI: \n   [url=https://www.gog.com/wishlist/site/document_the_protocol_and_api_of_the_galaxy_updater_client_to_enable_community_alternatives]Document the protocol and API of the Galaxy updater client to enable community alternatives[/url] \n   GOG (a blue at any rate) at one point stated they would document the Galaxy protocol. They also planned some significant downloader development for the client which I don't believe has surfaced yet. \n   That said who knows how much longer the wait will be or if they still plan on documenting it. \n  #Q&_^Q&Q#LINK:12#Q&_^Q&Q#[/quote] \n  \n I've seen many of these wishlist entries and nothing ever happens. I want a client now, not possibly in a year or something, if everything goes well. The GOG team seems to have a very open attitude towards these things, but something is holding them back. Maybe it's management concerns or they're just overworked (which is very common in the games industry). We shouldn't expect this to magically change, so I decided to take matters into my own hands and start this project. I'm fairly confident that we can have a hacked together but functional alternative client in the next couple of months.""","2016-12-12 07:51:41"
"b'Unofficial GOG API Documentation'","b'[quote_14]#Q&_^Q&Q#AVATAR:https://images.gog.com/4c208a9ee4766deaafce3189ab5c3afea54e85332efed1b3c563dc9954d70a8f_avm.jpg#Q&_^Q&Q#USERNAME:vidsgame#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:14#Q&_^Q&Q# \n   A Client? You mean like GOG Galaxy or are we talking about something entirely different in terms of client? \n  #Q&_^Q&Q#LINK:14#Q&_^Q&Q#[/quote] \n  \n Something like GOG Galaxy would be awesome, but a console client is probably more realistic right now. \n  \n  [quote_15]#Q&_^Q&Q#AVATAR:https://images.gog.com/ff1e22551962f149deacc01444fdf69ad03b6096e66de3b84a659c335679b4a6_avm.jpg#Q&_^Q&Q#USERNAME:phaolo#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:15#Q&_^Q&Q# \n   Please, make one that icludes [url=https://www.gog.com/forum/general/gogrepopy_python_script_for_regularly_backing_up_your_purchased_gog_collection_for_full_offline_e/page1]Gogrepo[/url]! :P \n  #Q&_^Q&Q#LINK:15#Q&_^Q&Q#[/quote] \n  \n Gogrepo was a great way to get started, but they handle a lot of API stuff and I\'d like to put that into a separate library. Some code will definitely be reused. \n  \n  [quote_16]#Q&_^Q&Q#AVATAR:https://images.gog.com/fc8ebd082c233822f091875ad36c1102a4a7d58be19b73e72c997de681aa40f1_avm.jpg#Q&_^Q&Q#USERNAME:adaliabooks#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:16#Q&_^Q&Q# \n   Edit: I\'ve had a look, but the ones I have that aren\'t listed aren\'t necessarily the same as what you\'ve already got. \n   They work on www.gog.com and embed.gog.com but aren\'t on separate subdomains (users.gog or chat.gog say) like the stuff you\'ve compiled. \n  #Q&_^Q&Q#LINK:16#Q&_^Q&Q#[/quote] \n  \n The stuff on separate subdomains is only a small part. I take everything that could be considered an API method, because it may be useful some day. \n  \n  [quote_16]#Q&_^Q&Q#AVATAR:https://images.gog.com/fc8ebd082c233822f091875ad36c1102a4a7d58be19b73e72c997de681aa40f1_avm.jpg#Q&_^Q&Q#USERNAME:adaliabooks#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:16#Q&_^Q&Q# \n   Here\'s two anyway, if they\'re of any use I\'ll tidy them up and write some details for them. \n  \n   First one is for users public wishlists: \n   [url=https://embed.gog.com/public_wishlist/829572545933/search?hiddenFlag=0&amp;mediaType=0&amp;page=1&amp;sortBy=date_added&amp;totalPages=4]https://embed.gog.com/public_wishlist/829572545933/search?hiddenFlag=0&amp;mediaType=0&amp;page=1&amp;sortBy=date_added&amp;totalPages=4[/url] \n  \n   And second is for reviews on game pages: \n   [url=https://embed.gog.com/reviews/product/1207658889.json?page=1]https://embed.gog.com/reviews/product/1207658889.json?page=1[/url] \n  \n   I\'ll keep poking about for others. \n  \n   Edit 2: There\'s also \n   [url=https://embed.gog.com/friends/search]https://embed.gog.com/friends/search[/url] \n   Which the friends page uses to find users, you need to send a single correct username in the form {""query"":""adaliabooks""} with it and it returns basically the same as the other user calls do. \n  #Q&_^Q&Q#LINK:16#Q&_^Q&Q#[/quote] \n  \n I found the public wishlist and friends search yesterday in accounts.js as well. Wishlist is already done, but you can write about the friends search. Reviews have its own dedicated page, you probably missed that. I should probably add all the URLs as soon as they are discovered, so someone else can work with them. Thanks for your help!'","2016-12-12 16:50:36"
"b'Unofficial GOG API Documentation'","b'I just added a ton of new URLs for settings, tags, order history and wallet. Hopefully that covers the most important parts of the site. Forum and support is still missing because they seem to use some legacy API and the chat is just really complicated. Let me know if I forgot about something!'","2016-12-13 04:22:51"
"b'Unofficial GOG API Documentation'","b""[quote_20]#Q&_^Q&Q#AVATAR:https://images.gog.com/b13211519e73aa06f8273a50b02964660502da1a057e7466ad747d57469678b9_avm.jpg#Q&_^Q&Q#USERNAME:dtgreene#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:20#Q&_^Q&Q# \n   One question: Can this API be used to download the Linux versions of games (since GOG Galaxy doesn't have a Linux version)? \n  \n   Also, can you download versions that are normally only available through Galaxy (like rollback versions)? In particular, can you get rollback on Linux this way? \n  #Q&_^Q&Q#LINK:20#Q&_^Q&Q#[/quote] \n  \n The API can be used to download the full Linux installers, but not for incremental updates, which are also required for rollback versions. There's an entry for content_system_compatibility.linux in the product data, but I've never seen it set to true. It also highly unlikely that we could get permission to distribute our own rollback data. \n  \n Example product response: [url=https://api.gog.com/products/1207658930]https://api.gog.com/products/1207658930[/url]""","2016-12-13 06:27:15"
"b'Any way of calculating the full GOG library files size?'","b'You can use www.gog.com/user/data/games and combine it with api.gog.com/products/123?expand=downloads, which returns sizes in a machine readable format.'","2016-12-14 02:28:01"
"b'Unofficial GOG API Documentation'","b'[quote_23]#Q&_^Q&Q#AVATAR:https://images.gog.com/c122e53a8f42189d8f91ab9adcfa4a6f31dbf48d3ad07a891b6b2ed0e1ea8a1f_avm.jpg#Q&_^Q&Q#USERNAME:mrkgnao#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:23#Q&_^Q&Q# \n   Adaliabooks has drawn my attention to this project. Very impressive. \n  \n   I don\'t have much to add from MaGog, but I will point out that your [url=https://gogapidocs.readthedocs.io/en/latest/gameslist.html]Game ID List[/url] currently seems to list only catalogue IDs, not library IDs, and the two are not the same for quite a few GOG games, either because they are unbundled (multiple library boxes for one catalogue item, e.g. Cognition) or because GOG just decided to have different IDs for a more-or-less unclear reason (e.g. Quake). \n  \n   For what it\'s worth, I\'ll post below MaGog\'s internal list of library IDs, where differing from the catalogue ID. It\'ll be in two parts due to GOG\'s character limit. \n  \n   Format is: \n   ""LIBRARY_ID"" =&gt; [CATALOGUE_ID, ""DESCRIPTIVE_NAME"" \n  \n   Note: If a game has multiple editions (e.g. Tyranny), the library ID is associated with the catalogue ID of the base (non-premium) edition (e.g. Commander Edition). \n  \n   Good luck. \n  \n   P.S. In case you don\'t know who MaGog is, you can visit her here: [url=http://www.an-ovel.com/pages/magog.php]http://www.an-ovel.com/pages/magog.php[/url] \n  #Q&_^Q&Q#LINK:23#Q&_^Q&Q#[/quote] \n  \n Thanks for bringing this to my attention. I decided to add a note at the top instead of recreating the list, because it\'s just hacked together and doesn\'t need to cover all cases.'","2016-12-23 03:36:43"
